Date,t,Open,High,Low,Close
2/2/2021,2836,33533.2,35896.88,33489.22,35510.29
2/1/2021,2835,33114.58,34638.21,32384.23,33537.18
1/31/2021,2834,34270.88,34288.33,32270.18,33114.36
1/30/2021,2833,34295.94,34834.71,32940.19,34269.52
1/29/2021,2832,34318.67,38406.26,32064.81,34316.39
1/28/2021,2831,30441.04,31891.3,30023.21,31649.61
1/27/2021,2830,32564.03,32564.03,29367.14,30432.55
1/26/2021,2829,32358.61,32794.55,31030.27,32569.85
1/25/2021,2828,32285.8,34802.74,32087.79,32366.39
1/24/2021,2827,32064.38,32944.01,31106.69,32289.38
1/23/2021,2826,32985.76,33360.98,31493.16,32067.64
1/22/2021,2825,30817.63,33811.85,28953.37,33005.76
1/21/2021,2824,35549.4,35552.68,30250.75,30825.7
1/20/2021,2823,36050.11,36378.33,33570.48,35547.75
1/19/2021,2822,36642.23,37755.89,36069.81,36069.81
1/18/2021,2821,35792.24,37299.29,34883.84,36630.08
1/17/2021,2820,36163.65,36722.35,34069.32,35791.28
1/16/2021,2819,36821.65,37864.37,35633.55,36178.14
1/15/2021,2818,39156.71,39577.71,34659.59,36825.37
1/14/2021,2817,37325.11,39966.41,36868.56,39187.33
1/13/2021,2816,33915.12,37599.96,32584.67,37316.36
1/12/2021,2815,35516.36,36568.53,32697.98,33922.96
1/11/2021,2814,38346.53,38346.53,30549.6,35566.66
1/10/2021,2813,40254.22,41420.19,35984.63,38356.44
1/9/2021,2812,40788.64,41436.35,38980.88,40254.55
1/8/2021,2811,39381.77,41946.74,36838.64,40797.61
1/7/2021,2810,36833.87,40180.37,36491.19,39371.04
1/6/2021,2809,34013.61,36879.7,33514.03,36824.36
1/5/2021,2808,31977.04,34437.59,30221.19,33992.43
1/4/2021,2807,32810.95,33440.22,28722.76,31971.91
1/3/2021,2806,32129.41,34608.56,32052.32,32782.02
1/2/2021,2805,29376.46,33155.12,29091.18,32127.27
1/1/2021,2804,28994.01,29600.63,28803.59,29374.15
12/31/2020,2803,28841.57,29244.88,28201.99,29001.72
12/30/2020,2802,27360.09,28937.74,27360.09,28840.95
12/29/2020,2801,27081.81,27370.72,25987.3,27362.44
12/28/2020,2800,26280.82,27389.11,26207.64,27084.81
12/27/2020,2799,26439.37,28288.84,25922.77,26272.29
12/26/2020,2798,24677.02,26718.07,24522.69,26437.04
12/25/2020,2797,23733.57,24710.1,23463.67,24664.79
12/24/2020,2796,23240.2,23768.34,22777.6,23735.95
12/23/2020,2795,23781.97,24024.49,22802.65,23241.34
12/22/2020,2794,22794.04,23789.9,22430.6,23783.03
12/21/2020,2793,23474.46,24059.98,22159.37,22803.08
12/20/2020,2792,23861.77,24209.66,23147.71,23477.3
12/19/2020,2791,23132.87,24085.86,22826.47,23869.83
12/18/2020,2790,22806.8,23238.6,22399.81,23137.96
12/17/2020,2789,21308.35,23642.66,21234.68,22805.16
12/16/2020,2788,19418.82,21458.91,19298.32,21310.6
12/15/2020,2787,19246.92,19525.01,19079.84,19417.08
12/14/2020,2786,19144.49,19305.1,19012.71,19246.64
12/13/2020,2785,18806.77,19381.54,18734.33,19142.38
12/12/2020,2784,18051.32,18919.55,18046.04,18803.66
12/11/2020,2783,18263.93,18268.45,17619.53,18058.9
12/10/2020,2782,18553.3,18553.3,17957.07,18264.99
12/9/2020,2781,18320.88,18626.29,17935.55,18553.92
12/8/2020,2780,19191.53,19283.48,18269.95,18321.14
12/7/2020,2779,19343.13,19411.83,18931.14,19191.63
12/6/2020,2778,19154.18,19390.5,18897.89,19345.12
12/5/2020,2777,18698.39,19160.45,18590.19,19154.23
12/4/2020,2776,19446.97,19511.4,18697.19,18699.77
12/3/2020,2775,19205.93,19566.19,18925.78,19445.4
12/2/2020,2774,18801.74,19308.33,18347.72,19201.09
12/1/2020,2773,19633.77,19845.98,18321.92,18803
11/30/2020,2772,18178.32,19749.26,18178.32,19625.84
11/29/2020,2771,17719.63,18283.63,17559.12,18177.48
11/28/2020,2770,17112.93,17853.94,16910.65,17717.42
11/27/2020,2769,17153.91,17445.02,16526.42,17108.4
11/26/2020,2768,18729.84,18866.29,16351.03,17150.62
11/25/2020,2767,19104.41,19390.97,18581.15,18732.12
11/24/2020,2766,18365.01,19348.27,18128.66,19107.46
11/23/2020,2765,18370.02,18711.43,18000.8,18364.12
11/22/2020,2764,18642.23,18688.97,17671.38,18370
11/21/2020,2763,18621.32,18936.62,18444.36,18642.23
11/20/2020,2762,17817.08,18773.23,17765.8,18621.31
11/19/2020,2761,17803.86,18119.55,17382.55,17817.09
11/18/2020,2760,17645.19,18393.95,17352.91,17804.01
11/17/2020,2759,16685.69,17782.92,16564.54,17645.41
11/16/2020,2758,15955.58,16816.18,15880.71,16716.11
11/15/2020,2757,16068.14,16123.11,15793.53,15955.59
11/14/2020,2756,16317.81,16317.81,15749.19,16068.14
11/13/2020,2755,16276.44,16463.18,15992.15,16317.81
11/12/2020,2754,15701.3,16305,15534.77,16276.34
11/11/2020,2753,15290.91,15916.26,15290.01,15701.34
11/10/2020,2752,15332.35,15450.33,15124.96,15290.9
11/9/2020,2751,15479.6,15785.14,14865.53,15332.32
11/8/2020,2750,14833.75,15637.32,14744.11,15479.57
11/7/2020,2749,15565.88,15737.1,14423.2,14833.75
11/6/2020,2748,15579.73,15903.44,15226.84,15565.88
11/5/2020,2747,14133.73,15706.4,14102.09,15579.85
11/4/2020,2746,13950.49,14218.77,13580.47,14133.71
11/3/2020,2745,13550.45,13984.98,13325.44,13950.3
11/2/2020,2744,13737.03,13808.32,13243.16,13550.49
11/1/2020,2743,13780.99,13862.03,13628.38,13737.11
10/31/2020,2742,13546.53,14028.21,13457.53,13780.99
10/30/2020,2741,13437.87,13651.52,13136.2,13546.52
10/29/2020,2740,13271.3,13612.05,12980.06,13437.88
10/28/2020,2739,13654.21,13837.7,12932.25,13271.29
10/27/2020,2738,13075.24,13759.67,13060.84,13654.22
10/26/2020,2737,13031.2,13225.3,12822.38,13075.25
10/25/2020,2736,13108.06,13329.18,12910.06,13031.17
10/24/2020,2735,12931.57,13145.07,12885.75,13108.06
10/23/2020,2734,12971.55,13015.96,12752.65,12931.54
10/22/2020,2733,12801.64,13161.59,12717.09,12965.89
10/21/2020,2732,11913.08,13184.57,11900.93,12823.69
10/20/2020,2731,11745.97,11999.92,11681.48,11916.34
10/19/2020,2730,11495.04,11799.09,11408.29,11742.04
10/18/2020,2729,11355.98,11483.36,11347.58,11483.36
10/17/2020,2728,11322.12,11386.26,11285.35,11358.1
10/16/2020,2727,11502.83,11540.06,11223.01,11322.12
10/15/2020,2726,11426.6,11569.91,11303.6,11495.35
10/14/2020,2725,11429.05,11539.98,11307.83,11429.51
10/13/2020,2724,11548.72,11548.98,11321.22,11425.9
10/12/2020,2723,11392.64,11698.47,11240.69,11555.36
10/11/2020,2722,11296.08,11428.81,11288.63,11384.18
10/10/2020,2721,11059.14,11442.21,11056.94,11296.36
10/9/2020,2720,10927.91,11102.67,10846.85,11064.46
10/8/2020,2719,10669.37,10945.74,10562.61,10915.69
10/7/2020,2718,10603.36,10680.51,10562.51,10668.97
10/6/2020,2717,10796.31,10797.58,10528.89,10604.41
10/5/2020,2716,10676.53,10793.51,10634.6,10793.34
10/4/2020,2715,10550.44,10686,10534.39,10669.58
10/3/2020,2714,10575.1,10598.94,10511.13,10549.33
10/2/2020,2713,10619.82,10657.84,10416.69,10575.98
10/1/2020,2712,10795.25,10933.62,10472.36,10619.45
9/30/2020,2711,10843.87,10847.26,10669.32,10784.49
9/29/2020,2710,10709.65,10860,10649.5,10844.64
9/28/2020,2709,10776.61,10945.35,10703.89,10709.65
9/27/2020,2708,10746.89,10803.98,10622.92,10775.27
9/26/2020,2707,10695.58,10773,10667.28,10750.72
9/25/2020,2706,10761.11,10777.7,10578.91,10692.72
9/24/2020,2705,10248.79,10771.06,10231.49,10760.07
9/23/2020,2704,10535.49,10537.83,10197.86,10246.19
9/22/2020,2703,10459.62,10568.08,10382.73,10538.46
