Date,t,Open,High,Low,Close
2/2/2021,2005,1369.51,1542.99,1362.77,1515.19
2/1/2021,2004,1314.86,1373.85,1274.36,1369.04
1/31/2021,2003,1376.82,1378.92,1288.5,1314.99
1/30/2021,2002,1382.23,1402.4,1328.53,1376.12
1/29/2021,2001,1369.09,1428.98,1292.24,1382.52
1/28/2021,2000,1251.28,1321.61,1226.17,1298.1
1/27/2021,1999,1358.33,1368.07,1215.31,1253.19
1/26/2021,1998,1323.74,1376.09,1253.34,1357.06
1/25/2021,1997,1390.64,1467.78,1304.97,1324.41
1/24/2021,1996,1231.21,1395.11,1225.27,1391.61
1/23/2021,1995,1235.27,1272.15,1200.89,1230.99
1/22/2021,1994,1118.89,1271.69,1046.6,1236.51
1/21/2021,1993,1382.68,1382.68,1098.48,1121.57
1/20/2021,1992,1375.25,1405.74,1243.3,1382.27
1/19/2021,1991,1257.43,1432.3,1254.52,1377.3
1/18/2021,1990,1230.31,1259.45,1187.31,1257.28
1/17/2021,1989,1233.45,1265.64,1174.39,1230.17
1/16/2021,1988,1171.44,1290.05,1157.62,1233.54
1/15/2021,1987,1221.88,1250.51,1090.72,1171.83
1/14/2021,1986,1130.23,1244.16,1093.06,1218.45
1/13/2021,1985,1043.74,1134.34,994.55,1130.74
1/12/2021,1984,1088.53,1149.24,1012.76,1043.43
1/11/2021,1983,1261.62,1261.62,924.92,1090.15
1/10/2021,1982,1280.87,1347.93,1194.72,1262.25
1/9/2021,1981,1223.74,1303.87,1182.27,1281.08
1/8/2021,1980,1225.97,1273.83,1076.08,1224.2
1/7/2021,1979,1208.08,1282.58,1167.44,1225.68
1/6/2021,1978,1101,1209.43,1064.23,1207.11
1/5/2021,1977,1041.5,1129.37,986.81,1100.01
1/4/2021,1976,977.06,1153.19,912.31,1040.23
1/3/2021,1975,774.51,1006.57,771.56,975.51
1/2/2021,1974,730.4,786.8,718.11,774.53
1/1/2021,1973,737.71,749.2,719.79,730.37
12/31/2020,1972,751.63,754.3,726.51,737.8
12/30/2020,1971,731.47,754.3,720.99,751.62
12/29/2020,1970,730.36,737.95,692.15,731.52
12/28/2020,1969,683.21,745.88,683.21,730.4
12/27/2020,1968,635.89,711.39,628.33,682.64
12/26/2020,1967,626.5,650.72,617.4,635.84
12/25/2020,1966,611.55,633.06,605.42,626.41
12/24/2020,1965,584.14,613.82,568.6,611.61
12/23/2020,1964,634.82,637.12,560.36,583.71
12/22/2020,1963,609.42,635.08,589.55,634.85
12/21/2020,1962,638.32,646.85,600.84,609.82
12/20/2020,1961,659.19,659.92,625.01,638.29
12/19/2020,1960,654.62,668.77,646.62,659.3
12/18/2020,1959,642.92,662.7,632.36,654.81
12/17/2020,1958,636.15,673.83,628.75,642.87
12/16/2020,1957,589.38,636.64,582.04,636.18
12/15/2020,1956,586.02,596.25,580.63,589.36
12/14/2020,1955,589.78,590.49,577.12,586.01
12/13/2020,1954,568.61,593.78,564.57,589.66
12/12/2020,1953,545.58,573.34,545.25,568.57
12/11/2020,1952,559.68,560.38,537.81,545.8
12/10/2020,1951,573.5,574.6,549.78,559.68
12/9/2020,1950,554.79,577.29,533,573.48
12/8/2020,1949,591.9,594.75,552.47,554.83
12/7/2020,1948,601.8,602.92,585.43,591.84
12/6/2020,1947,596.57,606.79,584.41,601.91
12/5/2020,1946,569.35,596.6,563.11,596.6
12/4/2020,1945,616.72,618.98,569.28,569.35
12/3/2020,1944,598.46,622.45,588.35,616.71
12/2/2020,1943,587.26,604.02,578.74,598.35
12/1/2020,1942,615.07,635.16,571.75,587.32
11/30/2020,1941,575.76,615.24,571.54,614.84
11/29/2020,1940,538.26,576.6,531.99,575.76
11/28/2020,1939,517.6,548.04,508.13,538.23
11/27/2020,1938,519.11,530.78,497.24,517.49
11/26/2020,1937,570.51,575.64,485.5,518.8
11/25/2020,1936,603.9,605.09,559.67,570.69
11/24/2020,1935,608.52,621.17,593.84,603.9
11/23/2020,1934,558.06,609.99,551.27,608.45
11/22/2020,1933,549.49,579.37,514.52,558.07
11/21/2020,1932,509.74,550.23,504.24,549.49
11/20/2020,1931,471.63,513.61,471.63,509.74
11/19/2020,1930,479.48,480.12,465.7,471.63
11/18/2020,1929,480.35,492,465.83,479.48
11/17/2020,1928,464.41,482.23,460.78,480.36
11/16/2020,1927,447.56,463.83,445.5,459.94
11/15/2020,1926,460.15,460.99,440.25,447.56
11/14/2020,1925,474.63,475.16,452.99,460.15
11/13/2020,1924,461.01,475.22,457.3,474.63
11/12/2020,1923,462.96,467.68,452.07,461.01
11/11/2020,1922,449.68,473.58,449.52,462.96
11/10/2020,1921,444.17,453.76,439.6,449.68
11/9/2020,1920,453.57,457.35,435.16,444.16
11/8/2020,1919,435.72,457.78,433.15,453.55
11/7/2020,1918,454.72,465.68,428.46,435.71
11/6/2020,1917,414.07,456.2,412.98,454.72
11/5/2020,1916,402.14,417.53,397.25,414.07
11/4/2020,1915,387.6,407.67,377.83,402.14
11/3/2020,1914,383.16,389.52,371.31,387.6
11/2/2020,1913,396.36,403.24,381.02,383.16
11/1/2020,1912,386.59,397.12,385.17,396.36
10/31/2020,1911,382.82,393.01,381.3,386.59
10/30/2020,1910,386.73,391.46,375.09,382.82
10/29/2020,1909,388.65,393.23,381.29,386.73
10/28/2020,1908,404,408.96,381.15,388.65
10/27/2020,1907,393.89,409.77,390.61,404
10/26/2020,1906,406.22,411.28,383.78,393.89
10/25/2020,1905,412.46,417.16,405.35,406.22
10/24/2020,1904,409.77,416.6,407.85,412.46
10/23/2020,1903,414.05,418.96,403.08,409.77
10/22/2020,1902,391.49,420.14,391.28,413.77
10/21/2020,1901,369.06,400.63,368.73,392.19
10/20/2020,1900,379.72,380.76,367.6,369.14
10/19/2020,1899,378.47,383.32,373.7,379.94
10/18/2020,1898,368.73,378.6,368.13,378.21
10/17/2020,1897,366.02,369.77,364.49,368.86
10/16/2020,1896,377.87,380.02,362.6,366.23
10/15/2020,1895,379.19,381.21,371.35,377.44
10/14/2020,1894,381.97,387.3,374.18,379.48
10/13/2020,1893,387.14,387.38,375.58,381.19
10/12/2020,1892,374.8,395.12,366.64,387.73
10/11/2020,1891,370.93,377.25,369.83,375.14
10/10/2020,1890,365.4,378.27,365.35,370.97
10/9/2020,1889,351.11,368.31,348.21,365.59
10/8/2020,1888,342.04,352.21,335.65,350.77
10/7/2020,1887,340.94,342.45,334.55,341.81
10/6/2020,1886,353.96,354.99,338,340.82
10/5/2020,1885,352.74,355.21,349.68,353.96
10/4/2020,1884,346.6,354.05,345.13,352.58
10/3/2020,1883,346.22,351.31,344.67,346.52
10/2/2020,1882,352.95,354.12,336.47,346.24
10/1/2020,1881,360.31,369.26,346.48,353.21
9/30/2020,1880,360.04,361.18,353.33,359.94
9/29/2020,1879,354.36,360.35,352.15,359.76
9/28/2020,1878,357.93,366.43,354.55,355.16
9/27/2020,1877,354.96,361.98,349.83,357.44
9/26/2020,1876,352.35,355.85,348.11,355.49
9/25/2020,1875,349.41,357.77,339.02,352.18
9/24/2020,1874,320.99,351.46,318.55,349.36
9/23/2020,1873,344.59,344.67,318.97,321.12
9/22/2020,1872,341.72,346.6,336.86,344.5
9/21/2020,1871,371.4,375.74,336.07,341.79
9/20/2020,1870,385.6,385.6,367.09,371.05
