Date,t,Open,High,Low,Close,,
2/2/2021,2836,131.95,145.53,131.95,142.51,,
2/1/2021,2835,129.57,136.13,126.35,131.95,,
1/31/2021,2834,133.42,134.7,126.25,129.57,,
1/30/2021,2833,135,135.9,128.92,133.4,,
1/29/2021,2832,138.22,144.96,132.16,135.01,,
1/28/2021,2831,122.94,131.74,121.54,130.59,,
1/27/2021,2830,134.75,134.86,118.79,122.95,,
1/26/2021,2829,137.43,139.54,128.87,134.76,,
1/25/2021,2828,141.44,147.15,137.01,137.44,,
1/24/2021,2827,137.74,142.65,134.48,141.48,,
1/23/2021,2826,137.2,142.34,135.11,137.75,,
1/22/2021,2825,130.07,141.02,123.65,137.27,,
1/21/2021,2824,149.94,149.94,126.23,130.13,,
1/20/2021,2823,153.36,156.14,139.09,149.93,,
1/19/2021,2822,152.2,165.92,150.49,153.49,,
1/18/2021,2821,142.43,154.53,138.81,152.14,,
1/17/2021,2820,144.22,146.82,137.07,142.43,,
1/16/2021,2819,144.19,152.06,140,144.27,,
1/15/2021,2818,152.11,155.12,132.19,144.24,,
1/14/2021,2817,147.38,156.57,144.18,152.08,,
1/13/2021,2816,132.66,147.88,126.86,147.42,,
1/12/2021,2815,139.08,146.72,128.93,132.64,,
1/11/2021,2814,171.09,171.09,114.96,139.25,,
1/10/2021,2813,177.48,185.78,163.78,171.11,,
1/9/2021,2812,173.25,179.09,164.15,177.48,,
1/8/2021,2811,169.64,181.77,151.65,173.28,,
1/7/2021,2810,169.07,180.87,162.81,169.62,,
1/6/2021,2809,158.67,169.66,155.45,169.02,,
1/5/2021,2808,154.9,162.85,147.4,158.59,,
1/4/2021,2807,160.27,173.03,143.62,154.81,,
1/3/2021,2806,136.95,163.9,135.74,160.19,,
1/2/2021,2805,126.27,140.37,123.69,136.94,,
1/1/2021,2804,124.67,133.19,123.33,126.23,,
12/31/2020,2803,129.48,130.17,123.04,124.69,,
12/30/2020,2802,129.06,132.45,123.44,129.47,,
12/29/2020,2801,130.03,130.61,121.19,129.04,,
12/28/2020,2800,127.59,136.19,127.07,130.05,,
12/27/2020,2799,129.46,138.32,123.1,127.52,,
12/26/2020,2798,127.08,134.74,125.13,129.46,,
12/25/2020,2797,111.51,128.03,108.59,126.98,,
12/24/2020,2796,101.9,111.93,99.61,111.57,,
12/23/2020,2795,113.68,116.89,96.27,101.82,,
12/22/2020,2794,104.95,114.03,98.87,113.68,,
12/21/2020,2793,114.67,118.02,101.6,105.01,,
12/20/2020,2792,120.49,122.74,110.77,114.67,,
12/19/2020,2791,109.37,123.76,105.69,120.56,,
12/18/2020,2790,100.99,112.25,99.55,109.38,,
12/17/2020,2789,92.8,109.23,91.14,100.96,,
12/16/2020,2788,81.41,92.85,79.03,92.79,,
12/15/2020,2787,82.36,84.71,80.7,81.4,,
12/14/2020,2786,82.03,82.87,79.43,82.36,,
12/13/2020,2785,76.71,83.89,75.66,82,,
12/12/2020,2784,72.08,77.52,72.08,76.71,,
12/11/2020,2783,74.83,74.85,70.23,72.09,,
12/10/2020,2782,77.41,77.58,73.47,74.83,,
12/9/2020,2781,76.74,78.1,72.62,77.41,,
12/8/2020,2780,83.62,84.71,75.98,76.75,,
12/7/2020,2779,83.55,86.73,81.93,83.62,,
12/6/2020,2778,83.12,85.04,80.6,83.56,,
12/5/2020,2777,80.01,84.17,79.15,83.12,,
12/4/2020,2776,89.1,89.6,78.77,80.02,,
12/3/2020,2775,88.88,91.12,85.81,89.1,,
12/2/2020,2774,85.44,90.11,83.4,88.86,,
12/1/2020,2773,87.58,92.28,81.31,85.44,,
11/30/2020,2772,79.21,88.13,77.07,87.57,,
11/29/2020,2771,72.7,80.78,71.73,79.24,,
11/28/2020,2770,69.13,74.83,68.55,72.69,,
11/27/2020,2769,70.88,73.46,65.95,69.12,,
11/26/2020,2768,81.88,83.07,65.23,70.87,,
11/25/2020,2767,89.2,90.41,79.86,81.88,,
11/24/2020,2766,89.03,93.58,86.83,89.21,,
11/23/2020,2765,82.7,90.16,81.19,89.04,,
11/22/2020,2764,86.41,87.64,79.65,82.7,,
11/21/2020,2763,82.58,88,80.65,86.41,,
11/20/2020,2762,81.68,85.17,80.27,82.58,,
11/19/2020,2761,73.7,83.21,71.8,81.68,,
11/18/2020,2760,75.85,76.45,69.63,73.69,,
11/17/2020,2759,73.5,76.43,71.23,75.85,,
11/16/2020,2758,62.28,72,62.17,71.33,,
11/15/2020,2757,63.77,64.15,61.23,62.28,,
11/14/2020,2756,65.46,65.84,61.93,63.77,,
11/13/2020,2755,60.36,66.02,60.31,65.46,,
11/12/2020,2754,59.51,60.45,58.31,60.37,,
11/11/2020,2753,58.24,60.55,58.2,59.52,,
11/10/2020,2752,59.37,59.66,57.6,58.24,,
11/9/2020,2751,61.06,61.78,57.84,59.36,,
11/8/2020,2750,59.14,61.81,58.88,61.06,,
11/7/2020,2749,63.13,64.4,57.59,59.14,,
11/6/2020,2748,58.68,63.28,58.47,63.13,,
11/5/2020,2747,54.5,59.22,54.5,58.68,,
11/4/2020,2746,53.82,55.01,51.61,54.5,,
11/3/2020,2745,53.82,54.27,51.65,53.82,,
11/2/2020,2744,55.59,56.71,53.21,53.82,,
11/1/2020,2743,55.59,55.97,54.26,55.59,,
10/31/2020,2742,53.84,56.11,53.53,55.59,,
10/30/2020,2741,54.77,55.57,52.53,53.84,,
10/29/2020,2740,55.74,56.3,53.46,54.77,,
10/28/2020,2739,57.82,60.3,54.71,55.74,,
10/27/2020,2738,56.75,58.89,56.51,57.82,,
10/26/2020,2737,58.67,59.1,55.21,56.75,,
10/25/2020,2736,59.1,59.77,56.66,58.67,,
10/24/2020,2735,55.24,59.33,54.81,59.1,,
10/23/2020,2734,54.3,56.67,53.18,55.24,,
10/22/2020,2733,53.02,56.06,53.01,54.27,,
10/21/2020,2732,47.06,54.55,47.06,53.05,,
10/20/2020,2731,48.1,48.44,46.69,47.05,,
10/19/2020,2730,47.64,48.5,46.99,48.1,,
10/18/2020,2729,47.06,47.88,46.97,47.62,,
10/17/2020,2728,47.75,47.75,46.75,47.05,,
10/16/2020,2727,49.53,49.9,46.21,47.69,,
10/15/2020,2726,49.83,50.25,49.06,49.49,,
10/14/2020,2725,50.01,50.98,49.42,49.85,,
10/13/2020,2724,50.68,50.68,49.13,49.94,,
10/12/2020,2723,50.62,51.52,49.54,50.74,,
10/11/2020,2722,48.91,51.24,48.87,50.73,,
10/10/2020,2721,47.78,50.41,47.78,48.92,,
10/9/2020,2720,47.22,48.27,46.71,47.83,,
10/8/2020,2719,46.68,47.49,45.84,47.22,,
10/7/2020,2718,46,46.98,45.24,46.66,,
10/6/2020,2717,46.36,48.08,45.67,45.99,,
10/5/2020,2716,46.74,47.11,45.69,46.36,,
10/4/2020,2715,45.58,47.04,45.45,46.73,,
10/3/2020,2714,44.91,46.13,44.78,45.58,,
10/2/2020,2713,46.35,46.95,44.2,44.92,,
10/1/2020,2712,46.43,48.51,45.57,46.31,,
9/30/2020,2711,45.81,46.72,45.49,46.37,,
9/29/2020,2710,45.3,45.87,45.02,45.8,,
9/28/2020,2709,46.11,46.96,45.29,45.36,,
9/27/2020,2708,46.09,46.59,45.06,46.09,,
9/26/2020,2707,46.1,46.52,45.36,46.19,,
9/25/2020,2706,45.05,46.57,44.15,46.09,,
9/24/2020,2705,43.05,45.17,42.75,45.04,,
9/23/2020,2704,44.49,45.08,42.74,43.06,,
9/22/2020,2703,43.36,44.77,43.12,44.55,,
9/21/2020,2702,47.13,47.65,42.54,43.39,,
9/20/2020,2701,48.67,48.67,46.43,47.1,,
9/19/2020,2700,48.48,49.03,48.21,48.68,,
9/18/2020,2699,48.83,49.08,47.79,48.46,,
9/17/2020,2698,47.98,49.48,47.88,48.88,,
9/16/2020,2697,48.46,48.79,47.47,47.93,,
9/15/2020,2696,49.12,50.14,48.35,48.39,,
9/14/2020,2695,48.05,49.94,47.44,49.09,,
9/13/2020,2694,50.76,50.93,47.53,48.07,,
9/12/2020,2693,49.06,51.22,48.67,50.82,,
9/11/2020,2692,48.72,49.41,47.4,49.09,,
9/10/2020,2691,47.92,49.38,47.9,48.72,,
9/9/2020,2690,47.38,48.85,46.7,47.9,,
9/8/2020,2689,48.81,49.3,46.2,47.38,,
9/7/2020,2688,48.03,49.07,45.62,48.77,,
9/6/2020,2687,47.6,48.9,46.62,48.05,,
9/5/2020,2686,50.62,51.32,46.15,47.59,,
9/4/2020,2685,47.78,52.33,47.19,50.61,,
9/3/2020,2684,58.01,58.53,47.06,47.77,,
9/2/2020,2683,62.87,63.07,57.14,58.1,,
9/1/2020,2682,61.11,64.18,60.39,62.88,,
8/31/2020,2681,62.84,63.49,60.75,61.11,,
8/30/2020,2680,57.21,62.8,57.17,62.73,,
8/29/2020,2679,57.44,58.23,57.13,57.29,,
8/28/2020,2678,56.1,58.17,55.57,57.35,,
8/27/2020,2677,58.3,59.16,54.8,56.04,,
8/26/2020,2676,58.44,58.99,57.21,58.36,,
8/25/2020,2675,62.22,62.34,57.27,58.58,,
8/24/2020,2674,60.62,62.82,60.27,62.2,,
8/23/2020,2673,60.26,61.49,58.34,60.62,,
8/22/2020,2672,59.36,60.46,58.29,60.31,,
8/21/2020,2671,62.91,63.65,59.17,59.38,,
8/20/2020,2670,62.02,63.53,61.28,62.97,,
8/19/2020,2669,65.55,66.97,59.57,62,,
8/18/2020,2668,67.06,68.03,64.28,65.53,,
8/17/2020,2667,63.83,68.52,61.88,67.03,,
8/16/2020,2666,59.94,64.29,59.33,63.83,,
8/15/2020,2665,56.73,60.38,56.73,59.93,,
8/14/2020,2664,57.7,57.98,56.36,56.75,,
8/13/2020,2663,54.99,57.86,52.35,57.74,,
8/12/2020,2662,54.37,55.56,52.32,54.97,,
8/11/2020,2661,58.29,59.44,53.23,54.39,,
8/10/2020,2660,57.12,59.24,57.12,58.29,,
8/9/2020,2659,58.23,58.66,56.5,57.14,,
8/8/2020,2658,57.21,58.54,56.65,58.13,,
8/7/2020,2657,59.15,60.84,55.87,57.25,,
8/6/2020,2656,58.99,60.56,57.98,59.16,,
8/5/2020,2655,57.58,59.77,57.12,59.01,,
8/4/2020,2654,58.46,59.42,56.8,57.53,,
8/3/2020,2653,56.62,59.64,56.14,58.47,,
8/2/2020,2652,61.26,64.46,55.8,56.64,,
8/1/2020,2651,58,61.66,57.5,61.29,,
7/31/2020,2650,56.65,58.74,55.83,58,,
7/30/2020,2649,55.1,57.97,54.08,56.64,,
7/29/2020,2648,55.59,56.69,55.03,55.17,,
7/28/2020,2647,53.06,57.13,51.9,55.58,,
7/27/2020,2646,47.97,54.93,47.52,52.95,,
7/26/2020,2645,48.84,50.38,47.72,47.98,,
7/25/2020,2644,44.11,49.16,44.07,48.8,,
7/24/2020,2643,44.85,44.88,44.06,44.18,,
7/23/2020,2642,44.94,45.47,44.58,44.85,,
7/22/2020,2641,43.61,45,43.32,44.94,,
7/21/2020,2640,41.97,43.93,41.89,43.62,,
7/20/2020,2639,42.55,42.71,41.64,41.98,,
7/19/2020,2638,42.43,42.7,41.88,42.55,,
7/18/2020,2637,41.91,42.83,41.78,42.43,,
7/17/2020,2636,42.04,42.34,41.78,41.91,,
7/16/2020,2635,43.26,43.4,41.47,42.04,,
7/15/2020,2634,43.79,44.01,42.99,43.28,,
7/14/2020,2633,43.97,44,43.14,43.8,,
7/13/2020,2632,44.64,45.31,43.24,43.92,,
7/12/2020,2631,44.69,45.18,44.06,44.64,,
7/11/2020,2630,44.25,44.71,44.01,44.68,,
7/10/2020,2629,44.51,44.53,43.55,44.25,,
7/9/2020,2628,45.19,45.71,43.83,44.54,,
7/8/2020,2627,43.32,45.41,43.17,45.2,,
7/7/2020,2626,43.96,44.22,43.11,43.32,,
7/6/2020,2625,41.6,44.15,41.5,43.96,,
7/5/2020,2624,42.02,42.16,40.99,41.6,,
